,longer_beginning,longer_ending,has_author,has_equation,jupyter_prop,output_cell_prop,markdown_prop,num_contrib,image_prop,is_education,has_links,has_comments,md_frequency,has_title,num_commits,md_format,non_exec_prop,exec_inorder,exec_skips,has_error,has_export,num_functions,has_test,num_headers,has_param,num_stars
longer_beginning,1,0.22927807486631016,0.04965089216446858,0.19603680113234254,0.5076566125290023,0.4586340921710161,0.3053715967623252,0.07049808429118774,0.18075422626788037,0.4693760732684602,0.4312796208530806,0.5410605349601126,0.5491329479768786,0.48446866485013623,0.12509038322487345,0.438125,0.09886792452830188,0.5274186357556844,0.11249137336093858,0.11887608069164265,0.17135549872122763,0.22596153846153846,0.02558139534883721,0.16754320060105185,0.010268562401263823,0.03923019985196151
longer_ending,0.22927807486631016,1,0.0654490106544901,0.19332566168009205,0.22568460812086874,0.2383939774153074,0.29296424452133796,0.06437768240343347,0.11826923076923077,0.3622775800711744,0.3477859778597786,0.2492877492877493,0.2853519340519975,0.2597323600973236,0.12173913043478261,0.3333333333333333,0.10758620689655173,0.25816696914700543,0.10867052023121387,0.06635071090047394,0.1592920353982301,0.18039624608967675,0.03715170278637771,0.20293724966622162,0.004815409309791332,0.04450625869262865
has_author,0.04965089216446858,0.0654490106544901,1,0.06165703275529865,0.047666335650446874,0.0449438202247191,0.056572379367720464,0.011764705882352941,0.036753445635528334,0.05465288035450517,0.076158940397351,0.04838709677419355,0.04051316677920324,0.05525965379494008,0.08311688311688312,0.06801470588235294,0.03257328990228013,0.04572473708276177,0.06772009029345373,0.02729528535980149,0.0374251497005988,0.020537124802527645,0.0,0.06958762886597938,0.007194244604316547,0.0392156862745098
has_equation,0.19603680113234254,0.19332566168009205,0.06165703275529865,1,0.1861366941347552,0.16613418530351437,0.215,0.056838365896980464,0.14576271186440679,0.25622775800711745,0.21256931608133087,0.1944177093358999,0.2023047375160051,0.1834975369458128,0.12369597615499255,0.2564962279966471,0.07389162561576355,0.19326966803092316,0.1111111111111111,0.06524822695035461,0.09458023379383634,0.14037122969837587,0.08091286307053942,0.13767019667170954,0.021413276231263382,0.043327556325823226
jupyter_prop,0.5076566125290023,0.22568460812086874,0.047666335650446874,0.1861366941347552,1,0.5623268698060941,0.2086914995224451,0.041082648622522956,0.25085075352455033,0.5226752175904719,0.3384615384615385,0.7848939929328622,0.576605504587156,0.5822727272727273,0.11577424023154848,0.4124711316397229,0.09014778325123153,0.8338448049101271,0.15730337078651685,0.13124387855044076,0.22585227272727273,0.22035525684109458,0.029193468579910935,0.11319845857418112,0.012431626056688214,0.05724070450097847
output_cell_prop,0.4586340921710161,0.2383939774153074,0.0449438202247191,0.16613418530351437,0.5623268698060941,1,0.20593809222994314,0.04573378839590444,0.2546623794212219,0.426610348468849,0.3167447306791569,0.568348623853211,0.48863035430988894,0.44832826747720367,0.12060967528164347,0.3318753417167851,0.0012586532410320957,0.5784574468085106,0.16311584553928096,0.1245836109260493,0.16390532544378697,0.17647058823529413,0.026038001407459536,0.14276048714479025,0.008559201141226819,0.06726768377253814
markdown_prop,0.3053715967623252,0.29296424452133796,0.056572379367720464,0.215,0.2086914995224451,0.20593809222994314,1,0.06929133858267716,0.0990990990990991,0.3379160636758321,0.36062378167641324,0.2161137440758294,0.26662362814719176,0.286722257857601,0.1011826544021025,0.3564695801199657,0.08849557522123894,0.2292328642759873,0.08363636363636363,0.048994974874371856,0.09861932938856016,0.15226781857451405,0.0016556291390728477,0.2552552552552553,0.0035778175313059034,0.053763440860215055
num_contrib,0.07049808429118774,0.06437768240343347,0.011764705882352941,0.056838365896980464,0.041082648622522956,0.04573378839590444,0.06929133858267716,1,0.028530670470756064,0.06589427950760318,0.06145833333333333,0.06004842615012106,0.06590450571620712,0.05985686402081978,0.1700507614213198,0.07678571428571429,0.11419753086419752,0.06633119853613907,0.01972386587771203,0.033860045146726865,0.06195965417867435,0.05666156202143951,0.0,0.04081632653061224,0.022222222222222223,0.29831932773109243
image_prop,0.18075422626788037,0.11826923076923077,0.036753445635528334,0.14576271186440679,0.25085075352455033,0.2546623794212219,0.0990990990990991,0.028530670470756064,1,0.16154791154791154,0.08856926570779712,0.2419047619047619,0.2271892222902633,0.1676168757126568,0.10137672090112641,0.14356087262491204,0.003861003861003861,0.24153498871331827,0.13730255164034022,0.05155875299760192,0.1422924901185771,0.11681772406847936,0.045234248788368334,0.06553398058252427,0.01174496644295302,0.03556187766714083
is_education,0.4693760732684602,0.3622775800711744,0.05465288035450517,0.25622775800711745,0.5226752175904719,0.426610348468849,0.3379160636758321,0.06589427950760318,0.16154791154791154,1,0.49931506849315066,0.5443678160919541,0.48357565966612814,0.46238244514106586,0.14617006324666199,0.5641869651086241,0.1183345507669832,0.5601604278074866,0.14218009478672985,0.11202185792349727,0.18742216687422167,0.23834886817576564,0.05271084337349398,0.20756115641215717,0.009694258016405667,0.07641921397379912
