nb_id,repo_id,err_in
71595,169218085,no code
71615,169218085,no code
71620,169218085,no code
71621,169218085,no code
71631,169218085,no code
71633,169218085,no code
71649,169220508,no code
71741,169796893,no code
72000,169843185,no code
72049,169842758,no code
72071,169863124,no code
72075,169863124,no code
72088,169882806,no code
72090,169882806,no code
72094,169882806,no code
72112,169878973,no code
72170,169876799,no code
72171,169876799,no code
72178,169876799,no code
72182,169876799,no code
72183,169876799,no code
72189,169876799,no code
72190,169876799,no code
72195,169876799,no code
72197,169876799,no code
72200,169876799,no code
72201,169876799,no code
72208,169876799,no code
72214,169876799,no code
72217,169876799,no code
72220,169876799,no code
72226,169876799,no code
72238,169876799,no code
72263,169883350,no code
72324,169923558,no code
72334,169909502,no code
72338,169909502,no code
72341,169909502,no code
72377,169913310,no code
72391,169904997,no code
72396,169904997,no code
72440,169922157,no code
72450,169915497,no code
72466,169941256,no code
72469,169941256,no code
72519,169931742,filtered out
72520,169931742,filtered out
72521,169931742,filtered out
72522,169931742,filtered out
72523,169931742,filtered out
72530,169942320,no code
72596,169939851,nb file
72620,169936248,no code
72625,169936248,no code
72666,169963705,no code
72672,169963705,no code
72716,169972097,no code
72751,169955520,no code
72955,169989846,no code
72958,169989846,no code
72969,170027136,no code
72970,170027136,no code
72972,170027136,no code
72975,170027136,no code
72988,170012252,no code
72990,170012252,no code
72994,170024587,no code
73003,170024587,no code
73011,170024587,no code
73052,170024587,no code
73136,170018724,no code
73247,170046338,no code
73251,170046338,no code
73265,170064062,no code
73289,170064062,no code
73388,170079835,no code
73395,170093449,no code
73409,170120188,no code
73438,170120188,no code
73460,170109448,nb file
73463,170109448,no code
73468,170109448,nb file
73573,170148876,no code
73579,170148876,no code
73592,170148876,no code
73609,170153196,no code
73620,170154227,no code
73642,170145983,no code
73647,170145983,no code
73769,170220151,no code
73770,170220151,no code
73784,170213232,no code
73785,170213232,no code
73788,170213232,no code
73843,170227214,no code
73845,170227214,no code
73846,170227214,no code
73848,170227214,no code
73859,170227214,no code
73882,170261293,no code
73885,170261293,no code
73886,170261293,no code
73893,170261293,no code
73955,170248403,filtered out
73956,170248403,filtered out
73957,170248403,filtered out
73958,170248403,filtered out
73959,170248403,filtered out
73960,170248403,filtered out
73961,170248403,filtered out
73962,170248403,filtered out
73963,170248403,filtered out
73964,170248403,filtered out
73965,170248403,filtered out
73966,170248403,filtered out
73967,170248403,filtered out
73968,170248403,filtered out
73969,170248403,filtered out
73970,170248403,filtered out
73971,170248403,filtered out
73972,170248403,filtered out
73973,170248403,filtered out
73974,170248403,filtered out
73975,170248403,filtered out
73976,170248403,filtered out
73977,170248403,filtered out
73978,170248403,filtered out
73979,170248403,filtered out
73980,170248403,filtered out
73981,170248403,filtered out
73982,170248403,filtered out
73983,170248403,filtered out
73984,170248403,filtered out
73985,170248403,filtered out
73986,170248403,filtered out
73989,170228823,no code
73996,170249957,no code
74130,170296149,nb file
74180,170275087,nb file
74200,170298835,nb file
74316,170347935,no code
74318,170347935,no code
74320,170347935,no code
74344,170367659,nb file
74410,170370699,nb file
74437,170398442,no code
74556,170397064,no code
74629,170420721,no code
74634,170420721,no code
74650,170441480,no code
74667,170424775,nb file
74798,170467383,no code
74799,170467383,no code
74831,170453053,no code
74844,170450304,no code
74957,170553698,no code
74970,170538746,has_reqtext
75017,170506904,no code
75019,170506904,no code
75064,170501887,no code
75067,170501887,no code
75068,170501887,nb file
75073,170501887,no code
75080,170501887,no code
75111,170522567,no code
75174,170592428,no code
75214,170573076,no code
75215,170573076,no code
75252,170558918,no code
75267,170580367,no code
75339,170615181,no code
75343,170615181,no code
75346,170615181,no code
75347,170615181,no code
75352,170615181,no code
75353,170615181,no code
75354,170615181,no code
75355,170615181,no code
75384,170625091,no code
75386,170625091,no code
75390,170625091,no code
75406,170622645,no code
75413,170617286,no code
75422,170617286,no code
75423,170617286,no code
75437,170604948,no code
75442,170621592,no code
75445,170621592,no code
75477,170633501,no code
75543,170667647,no code
75647,170659658,no code
75652,170659658,no code
75674,170719799,no code
75723,170705841,no code
75730,170705841,no code
75732,170705841,no code
75745,170705841,no code
75757,170705841,no code
75762,170705841,no code
75768,170712277,no code
75769,170712277,no code
75850,170745790,no code
75926,170756177,no code
75983,170752540,no code
76039,170739860,no code
76114,170795039,nb file
76153,170798540,no code
76278,170781630,no code
76281,170781630,no code
76285,170781630,no code
76292,170840896,has_author
76339,170841975,no code
76341,170810297,no code
76346,170810297,no code
76349,170821941,no code
76370,170889124,no code
76377,170889124,no code
76430,170874214,no code
76436,170902931,has_author
76446,170891605,no code
76484,170872403,filtered out
76486,170866062,no code
76493,170866062,no code
76507,170865328,no code
76515,170865328,no code
76520,170865328,no code
76544,170926987,has_reqtext
76553,170926987,has_reqtext
76587,170925732,no code
76592,170925732,no code
76593,170925732,no code
76595,170925732,no code
76598,170925732,no code
76609,170925732,no code
76626,170942467,no code
76639,170923352,no code
76642,170923352,no code
76645,170937241,no code
76648,170937241,no code
76651,170937241,no code
76842,170961198,no code
76854,170961143,no code
76858,170961143,no code
76862,170961143,no code
76874,170967996,no code
76879,170954066,no code
77036,170995372,no code
77106,170980270,no code
77108,170980270,no code
77110,170980270,no code
77111,170980270,no code
77118,170980270,no code
77120,170980270,no code
77123,170980270,no code
77124,170980270,no code
77125,170980270,no code
77128,170980270,no code
77129,170980270,no code
77132,170980270,no code
77135,170980270,no code
77136,170980270,no code
77138,170980270,no code
77139,170980270,no code
77145,170980270,no code
77146,170980270,no code
77148,170980270,no code
77150,170980270,no code
77157,170980270,no code
77158,170980270,no code
77162,170980270,no code
77163,170980270,no code
77167,170980270,no code
77172,170980270,no code
77173,170980270,no code
77174,170980270,no code
77176,170980270,no code
77177,170980270,no code
77178,170980270,no code
77182,170980270,no code
77191,170980270,no code
77193,170980270,no code
77194,170980270,no code
77195,170980270,no code
77203,170969478,has_author
77218,170988868,no code
77319,171003053,no code
77336,171008255,no code
77353,171008255,no code
77371,171035496,no code
77376,171051615,no code
77414,171056306,no code
77450,171051950,no code
77452,171051950,no code
77491,171047361,no code
77499,171047361,no code
77500,171047361,no code
77625,171081737,nb file
77664,171076316,no code
77665,171076316,no code
77669,171076316,no code
77674,171086636,no code
77676,171086636,no code
77741,171100266,no code
77916,171128740,has_author
77917,171128740,has_author
77918,171128740,has_author
77919,171128740,has_author
77920,171128740,has_author
77921,171128740,has_author
77922,171128740,has_author
77923,171128740,has_author
77924,171128740,has_author
77925,171128740,has_author
77926,171128740,has_author
77927,171128740,has_author
77929,171151724,no code
77982,171137530,no code
77987,171127152,no code
77995,171127152,no code
78001,171133955,no code
78002,171133955,no code
78235,171184166,no code
78243,171184166,no code
78245,171184166,no code
78251,171184166,no code
78262,171184166,no code
78265,171184166,no code
78382,171186906,no code
78512,171187288,no code
78556,171186940,no code
78558,171186940,no code
78559,171186940,no code
78561,171186940,no code
78566,171186940,no code
78581,171186940,no code
78585,171186940,no code
78587,171186940,no code
78591,171186940,no code
78593,171186940,no code
78597,171186940,no code
78617,171192348,no code
78636,171187204,no code
78731,171194139,no code
78741,171223511,no code
78793,171221607,no code
78880,171233563,no code
78897,171262630,nb file
78903,171252909,no code
78933,171252909,no code
78934,171252909,no code
78946,171252909,no code
78956,171252909,no code
78992,171312551,no code
79007,171281023,nb file
79008,171281023,nb file
79009,171281023,nb file
79010,171281023,nb file
79011,171281023,nb file
79177,171276766,no code
79220,171370064,no code
79221,171370064,no code
79223,171370064,no code
79225,171370064,no code
79293,171368153,no code
79304,171368982,no code
79305,171368982,no code
79317,171351186,no code
79339,171351186,no code
79342,171351186,no code
79372,171351186,no code
79384,171379232,no code
79386,171379232,no code
79387,171379232,no code
79393,171379232,no code
79487,171411264,no code
79488,171411264,no code
79494,171382843,nb file
79774,171433071,no code
79841,171490796,has_reqtext
79842,171490796,has_reqtext
79844,171490796,has_reqtext
79853,171490796,has_reqtext
79858,171490796,has_reqtext
79870,171490796,has_reqtext
79882,171490796,has_reqtext
79885,171490796,has_reqtext
79895,171490796,has_reqtext
79896,171490796,nb file
79915,171490796,has_reqtext
79925,171490796,has_reqtext
79934,171490796,has_reqtext
79936,171490796,has_reqtext
79958,171490796,has_reqtext
79961,171490796,has_reqtext
79962,171490796,has_reqtext
80053,171518649,no code
80232,171508376,no code
80325,171502289,no code
80327,171502289,no code
80333,171502289,no code
80335,171502289,no code
80344,171497652,no code
80348,171497652,no code
80350,171497652,no code
80351,171497652,no code
80427,171529794,no code
80453,171529794,no code
80454,171540127,no code
80487,171556781,nb file
80493,171556781,nb file
80494,171556781,nb file
80497,171556781,nb file
80622,171579534,no code
80624,171579534,no code
80626,171579534,no code
80668,171585111,no code
80679,171588181,no code
80681,171588181,no code
80685,171571365,no code
80696,171571365,no code
80697,171571365,no code
80704,171610461,no code
80790,171656618,no code
80794,171656618,no code
80799,171656618,no code
80800,171656618,no code
80806,171656618,no code
80809,171656618,no code
80813,171656618,no code
80814,171656618,no code
80818,171656618,no code
80822,171656618,no code
80826,171661728,no code
80828,171661728,no code
80829,171661728,no code
80835,171661728,no code
80857,171624217,no code
80859,171624217,no code
80864,171624217,no code
80868,171624217,no code
80895,171651220,no code
80951,171648015,no code
80952,171648015,no code
80954,171616226,no code
81094,171702447,no code
81097,171702447,no code
81098,171702447,no code
81206,171746858,no code
81242,171725038,no code
81243,171725038,no code
81247,171725038,no code
81257,171725038,no code
81260,171725038,no code
81262,171725038,no code
81267,171725038,no code
81334,171744959,no code
81380,171726849,no code
81418,171749355,no code
81546,171775768,no code
81574,171775768,no code
81575,171775768,no code
81583,171775768,no code
81649,171801800,no code
81787,171814385,no code
81798,171814385,no code
81887,171814385,no code
81918,171811047,no code
81925,171819960,no code
81932,171809733,no code
82015,171813257,no code
82017,171837576,no code
82023,171837576,no code
82024,171837576,no code
82249,171880468,no code
82259,171880468,no code
82261,171900335,no code
82262,171900335,no code
82279,171878988,no code
82280,171878988,no code
82281,171878988,no code
82282,171878988,no code
82283,171878988,no code
82315,171874808,no code
82326,171874808,no code
82470,171950222,no code
82471,171950222,no code
82475,171950222,no code
82520,171937407,no code
82823,172017824,no code
82825,172017824,no code
82826,172017824,no code
82829,172017824,no code
82830,172017824,no code
82974,172016845,no code
82989,172048312,no code
83000,172048312,no code
83028,172014351,no code
83030,172014351,no code
83035,172016123,no code
83074,172040440,no code
83189,172090378,no code
83230,172090378,no code
83329,172073346,no code
83364,172071795,no code
83365,172071795,no code
83366,172071795,no code
83417,172074025,no code
83426,172074025,no code
83433,172075515,no code
83437,172075515,no code
83442,172075717,no code
83603,172124379,api
83605,172143783,no code
83606,172143783,no code
83611,172158920,no code
83615,172169668,filtered out
83616,172169668,filtered out
83617,172169668,filtered out
83618,172169668,filtered out
83619,172169668,filtered out
83620,172169668,filtered out
83621,172169668,filtered out
83656,172163508,no code
83657,172163508,no code
83682,172167453,no code
83759,172154161,no code
83795,172156809,no code
83799,172156809,no code
83800,172156809,no code
84040,172238351,no code
84062,172238351,no code
84069,172238351,no code
84070,172238351,no code
84097,172238351,no code
84099,172238351,no code
84112,172238351,no code
84153,172234994,no code
84199,172264498,no code
84207,172264498,no code
84216,172264498,no code
84219,172264498,no code
84223,172264498,no code
84228,172264498,no code
84242,172264498,no code
84282,172251499,no code
84389,172281187,no code
84395,172281187,no code
84396,172281187,no code
84402,172281187,no code
84603,172328071,no code
84718,172341497,no code
84738,172334060,no code
84758,172335443,no code
84768,172335443,no code
84772,172335443,no code
84781,172335443,no code
84782,172335443,no code
84872,172332416,nb file
84906,172333958,nb file
84938,172383450,nb file
84946,172383137,nb file
84950,172383137,no code
84986,172405092,nb file
84991,172380544,no code
84998,172380544,no code
85229,172406145,no code
85231,172406145,no code
85257,172406145,no code
85269,172406145,no code
85276,172406145,no code
85285,172406145,no code
85291,172406145,nb file
85292,172406145,no code
85301,172406145,no code
85307,172406145,no code
85312,172406145,no code
85425,172443123,no code
85437,172414682,nb file
85512,172446017,no code
85542,172491996,no code
85550,172491996,no code
85551,172491996,no code
85554,172491996,no code
85574,172491996,no code
85578,172491996,no code
85581,172491996,no code
85586,172491996,no code
85593,172491996,nb file
85594,172491996,no code
85607,172491996,no code
85628,172491996,no code
85629,172491996,no code
85636,172491996,no code
85650,172491996,nb file
85661,172491996,no code
85664,172491996,no code
85677,172491996,no code
85679,172491996,no code
85689,172491837,no code
85738,172508912,no code
85845,172528522,no code
85849,172528522,no code
85850,172528522,no code
85876,172548659,nb file
